timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531302862837,120022,开始投注,200,HTTP/1.1 200,CT投注 1-285,text,true,,188,0,1000,1000,120022,0,0
1531302862840,120022,开始投注,200,HTTP/1.1 200,CT投注 1-195,text,true,,188,0,1000,1000,120022,0,0
1531302862846,120026,开始投注,200,HTTP/1.1 200,CT投注 1-304,text,true,,188,0,1000,1000,120026,0,0
1531302862879,120030,开始投注,200,HTTP/1.1 200,CT投注 1-172,text,true,,188,0,1000,1000,120030,0,0
1531302862904,120024,开始投注,200,HTTP/1.1 200,CT投注 1-480,text,true,,188,0,1000,1000,120024,0,0
1531302862940,120024,开始投注,200,HTTP/1.1 200,CT投注 1-114,text,true,,188,0,1000,1000,120024,0,0
1531302862941,120023,开始投注,200,HTTP/1.1 200,CT投注 1-147,text,true,,188,0,1000,1000,120023,0,0
1531302862943,120028,开始投注,200,HTTP/1.1 200,CT投注 1-247,text,true,,188,0,1000,1000,120028,0,0
1531302862920,120054,开始投注,200,HTTP/1.1 200,CT投注 1-386,text,true,,188,0,1000,1000,120054,0,0
1531302862915,120062,开始投注,200,HTTP/1.1 200,CT投注 1-122,text,true,,188,0,1000,1000,120062,0,0
1531302862964,120026,开始投注,200,HTTP/1.1 200,CT投注 1-13,text,true,,188,0,1000,1000,120026,0,0
1531302863128,120024,开始投注,200,HTTP/1.1 200,CT投注 1-156,text,true,,188,0,1000,1000,120024,0,0
1531302863206,120046,开始投注,200,HTTP/1.1 200,CT投注 1-78,text,true,,188,0,1000,1000,120046,0,0
1531302863234,120024,开始投注,200,HTTP/1.1 200,CT投注 1-8,text,true,,188,0,1000,1000,120024,0,0
1531302863251,120029,开始投注,200,HTTP/1.1 200,CT投注 1-543,text,true,,188,0,1000,1000,120029,0,0
1531302863267,120023,开始投注,200,HTTP/1.1 200,CT投注 1-308,text,true,,188,0,1000,1000,120023,0,0
1531302863283,120031,开始投注,200,HTTP/1.1 200,CT投注 1-5,text,true,,188,0,1000,1000,120031,0,0
1531302863275,120042,开始投注,200,HTTP/1.1 200,CT投注 1-31,text,true,,188,0,1000,1000,120042,0,0
1531302863329,120021,开始投注,200,HTTP/1.1 200,CT投注 1-191,text,true,,188,0,1000,1000,120021,0,0
1531302922544,60830,开始投注,200,HTTP/1.1 200,CT投注 1-71,text,true,,179,0,1000,1000,60830,0,0
1531302863330,120062,开始投注,200,HTTP/1.1 200,CT投注 1-178,text,true,,179,0,1000,1000,120062,0,0
1531302863396,120037,开始投注,200,HTTP/1.1 200,CT投注 1-339,text,true,,179,0,1000,1000,120037,0,0
1531302863418,120045,开始投注,200,HTTP/1.1 200,CT投注 1-411,text,true,,179,0,1000,1000,120045,0,0
1531302863491,120024,开始投注,200,HTTP/1.1 200,CT投注 1-149,text,true,,188,0,1000,1000,120024,0,0
1531302863491,120028,开始投注,200,HTTP/1.1 200,CT投注 1-286,text,true,,188,0,1000,1000,120028,0,0
1531302863507,120030,开始投注,200,HTTP/1.1 200,CT投注 1-148,text,true,,188,0,1000,1000,120030,0,0
1531302863536,120031,开始投注,200,HTTP/1.1 200,CT投注 1-225,text,true,,188,0,1000,1000,120031,0,0
1531302863547,120024,开始投注,200,HTTP/1.1 200,CT投注 1-452,text,true,,188,0,1000,1000,120024,0,0
1531302863547,120024,开始投注,200,HTTP/1.1 200,CT投注 1-144,text,true,,188,0,1000,1000,120024,0,0
1531302863557,120021,开始投注,200,HTTP/1.1 200,CT投注 1-257,text,true,,188,0,1000,1000,120021,0,0
1531302863681,120024,开始投注,200,HTTP/1.1 200,CT投注 1-440,text,true,,188,0,1000,1000,120024,0,0
1531302863688,120020,开始投注,200,HTTP/1.1 200,CT投注 1-192,text,true,,188,0,1000,1000,120020,0,0
1531302863702,120025,开始投注,200,HTTP/1.1 200,CT投注 1-52,text,true,,188,0,1000,1000,120025,0,0
1531302863751,120024,开始投注,200,HTTP/1.1 200,CT投注 1-80,text,true,,188,0,1000,1000,120024,0,0
1531302863766,120040,开始投注,200,HTTP/1.1 200,CT投注 1-17,text,true,,179,0,1000,1000,120040,0,0
1531302863784,120053,开始投注,200,HTTP/1.1 200,CT投注 1-14,text,true,,179,0,1000,1000,120053,0,0
1531302863816,120027,开始投注,200,HTTP/1.1 200,CT投注 1-238,text,true,,188,0,1000,1000,120027,0,0
1531302863892,120022,开始投注,200,HTTP/1.1 200,CT投注 1-109,text,true,,188,0,1000,1000,120022,0,0
1531302863901,120023,开始投注,200,HTTP/1.1 200,CT投注 1-402,text,true,,188,0,1000,1000,120023,0,0
1531302863901,120027,开始投注,200,HTTP/1.1 200,CT投注 1-332,text,true,,188,0,1000,1000,120027,0,0
1531302863978,120022,开始投注,200,HTTP/1.1 200,CT投注 1-157,text,true,,188,0,1000,1000,120022,0,0
1531302863981,120019,开始投注,200,HTTP/1.1 200,CT投注 1-345,text,true,,188,0,1000,1000,120019,0,0
1531302863978,120030,开始投注,200,HTTP/1.1 200,CT投注 1-163,text,true,,188,0,1000,1000,120030,0,0
1531302863986,120026,开始投注,200,HTTP/1.1 200,CT投注 1-354,text,true,,188,0,1000,1000,120026,0,0
1531302864021,120029,开始投注,200,HTTP/1.1 200,CT投注 1-368,text,true,,188,0,1000,1000,120029,0,0
1531302864055,120025,开始投注,200,HTTP/1.1 200,CT投注 1-263,text,true,,188,0,1000,1000,120025,0,0
1531302864063,120020,开始投注,200,HTTP/1.1 200,CT投注 1-390,text,true,,188,0,1000,1000,120020,0,0
1531302864073,120041,开始投注,200,HTTP/1.1 200,CT投注 1-29,text,true,,179,0,1000,1000,120041,0,0
1531302864094,120038,开始投注,200,HTTP/1.1 200,CT投注 1-98,text,true,,179,0,1000,1000,120038,0,0
1531302864192,120063,开始投注,200,HTTP/1.1 200,CT投注 1-301,text,true,,179,0,1000,1000,120063,0,0
1531302864231,120025,开始投注,200,HTTP/1.1 200,CT投注 1-133,text,true,,188,0,1000,1000,120025,0,0
1531302864226,120040,开始投注,200,HTTP/1.1 200,CT投注 1-441,text,true,,179,0,1000,1000,120040,0,0
1531302864243,120030,开始投注,200,HTTP/1.1 200,CT投注 1-199,text,true,,188,0,1000,1000,120030,0,0
1531302864244,120036,开始投注,200,HTTP/1.1 200,CT投注 1-59,text,true,,188,0,1000,1000,120036,0,0
1531302864300,120024,开始投注,200,HTTP/1.1 200,CT投注 1-66,text,true,,188,0,1000,1000,120024,0,0
1531302864311,120025,开始投注,200,HTTP/1.1 200,CT投注 1-145,text,true,,188,0,1000,1000,120025,0,0
1531302864331,120026,开始投注,200,HTTP/1.1 200,CT投注 1-102,text,true,,188,0,1000,1000,120026,0,0
1531302864347,120027,开始投注,200,HTTP/1.1 200,CT投注 1-598,text,true,,188,0,1000,1000,120027,0,0
1531302864429,120026,开始投注,200,HTTP/1.1 200,CT投注 1-23,text,true,,188,0,1000,1000,120026,0,0
1531302864437,120023,开始投注,200,HTTP/1.1 200,CT投注 1-210,text,true,,188,0,1000,1000,120023,0,0
1531302864464,120027,开始投注,200,HTTP/1.1 200,CT投注 1-290,text,true,,188,0,1000,1000,120027,0,0
1531302864472,120044,开始投注,200,HTTP/1.1 200,CT投注 1-282,text,true,,179,0,1000,1000,120044,0,0
1531302864493,120032,开始投注,200,HTTP/1.1 200,CT投注 1-450,text,true,,188,0,1000,1000,120032,0,0
1531302864508,120047,开始投注,200,HTTP/1.1 200,CT投注 1-12,text,true,,188,0,1000,1000,120047,0,0
1531302864513,120043,开始投注,200,HTTP/1.1 200,CT投注 1-155,text,true,,188,0,1000,1000,120043,0,0
1531302864503,120062,开始投注,200,HTTP/1.1 200,CT投注 1-337,text,true,,188,0,1000,1000,120062,0,0
1531302864504,120069,开始投注,200,HTTP/1.1 200,CT投注 1-222,text,true,,188,0,1000,1000,120069,0,0
